time,state,topic
2025-11-03T09:15:48.624099Z,54.48,PM1/sensor/steinel_hih/state
2025-11-03T09:15:51.994093Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:15:52.486383Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:15:55.986086Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:15:57.078951Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:15:58.498949Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:15:58.574481Z,20.0,PM1/sensor/steinel_tmp/state
2025-11-03T09:15:58.639047Z,10.54,PM1/sensor/steinel_dptmp/state
2025-11-03T09:15:58.749166Z,101124.7,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:16:01.926078Z,22.48,PM1/sensor/ee_tmp/state
2025-11-03T09:16:04.826305Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:16:05.326178Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:16:08.514262Z,0.0,PM1/sensor/steinel_voc/state
2025-11-03T09:16:08.639724Z,10.51,PM1/sensor/steinel_dptmp/state
2025-11-03T09:16:08.669175Z,54.4,PM1/sensor/steinel_hih/state
